,name,handle,x,y,bestFitY,r2
0,Alex GRAHAM,alexgraham04,0,1645,25872.5257406065,0.058261668430515
1,Andrew GEE,AndrewGeeMP,0,46632,25872.5257406065,0.058261668430515
2,Brett NANGLE,BrettNangle,0,1892,25872.5257406065,0.058261668430515
3,Nikhil AAI REDDY,ReddyAai,0,7638,25872.5257406065,0.058261668430515
4,Ron FIEDLER,Ronald_Fiedler,0,7157,25872.5257406065,0.058261668430515
5,Jake SCHOERMER,UQGreens,0,19621,25872.5257406065,0.058261668430515
6,Neville John FOWLER,fowler_neville,1,1494,25872.54192514956,0.058261668430515
7,George HUA,georgejhua,1,37447,25872.54192514956,0.058261668430515
8,Majella MORELLO,jazzglamorous,1,2613,25872.54192514956,0.058261668430515
9,Lachlan QUEENAN,LachlanQueenan,1,2478,25872.54192514956,0.058261668430515
10,Simon NORTHEAST,NortheastSimon,1,9184,25872.54192514956,0.058261668430515
11,Rick GROSVENOR,RFGrosvenor,1,1309,25872.54192514956,0.058261668430515
12,Tracey BELL-HENSELIN,THenselin,1,5165,25872.54192514956,0.058261668430515
13,Thor PROHASKA,thorlp,1,2302,25872.54192514956,0.058261668430515
14,Michael CALAUTTI,MichaelCalautti,3,1305,25872.574294235674,0.058261668430515
15,Nickee FREEMAN,NickeeGoLightly,3,4011,25872.574294235674,0.058261668430515
16,Ziggi MURPHY,ZiggiFor,3,2390,25872.574294235674,0.058261668430515
17,Livingston CHETTIPALLY,LChettipally,4,25411,25872.59047877873,0.058261668430515
18,Sharron HAWKINS ZEEB,sharronhawkin12,4,1102,25872.59047877873,0.058261668430515
19,Gladys LIU,GladysLiuMP,5,41172,25872.60666332179,0.058261668430515
20,Ryan Frederick GOLDSPRING,Qe8OGDavbDZjWs9,7,1986,25872.639032407904,0.058261668430515
21,Steven D'ELIA,StevenDElia,8,1185,25872.65521695096,0.058261668430515
22,Richard BELCHER,RichardGBelcher,9,1410,25872.67140149402,0.058261668430515
23,Steve KLOMP,SteveKlomp,9,1450,25872.67140149402,0.058261668430515
24,Darren EATHER,warinella1,11,8334,25872.703770580134,0.058261668430515
25,Emmet de BHALDRAITHE,Emmet_deB,13,5982,25872.73613966625,0.058261668430515
26,Jess JENNINGS,JenningsJess,13,23074,25872.73613966625,0.058261668430515
27,Tony SMITH,TonySmithMP,13,45168,25872.73613966625,0.058261668430515
28,Andrew WALLACE,AndrewWallaceMP,15,49567,25872.768508752364,0.058261668430515
29,Cecilia MOAR,CeciliaMoar,16,2761,25872.78469329542,0.058261668430515
