,name,handle,x,y,bestFitY,r2
0,Andrew GEE,AndrewGeeMP,0,46632,27169.6737521478,0.000247625162061
1,Neville John FOWLER,fowler_neville,0,1494,27169.6737521478,0.000247625162061
2,Lachlan QUEENAN,LachlanQueenan,0,2478,27169.6737521478,0.000247625162061
3,Ryan Frederick GOLDSPRING,Qe8OGDavbDZjWs9,0,1986,27169.6737521478,0.000247625162061
4,Tracey BELL-HENSELIN,THenselin,0,5165,27169.6737521478,0.000247625162061
5,Thor PROHASKA,thorlp,0,2302,27169.6737521478,0.000247625162061
6,Jake SCHOERMER,UQGreens,0,19621,27169.6737521478,0.000247625162061
7,Ziggi MURPHY,ZiggiFor,0,2390,27169.6737521478,0.000247625162061
8,Alex GRAHAM,alexgraham04,1,1645,27169.673522149624,0.000247625162061
9,Gladys LIU,GladysLiuMP,1,41172,27169.673522149624,0.000247625162061
10,Michael CALAUTTI,MichaelCalautti,1,1305,27169.673522149624,0.000247625162061
11,Simon NORTHEAST,NortheastSimon,1,9184,27169.673522149624,0.000247625162061
12,Livingston CHETTIPALLY,LChettipally,2,25411,27169.673292151445,0.000247625162061
13,Nickee FREEMAN,NickeeGoLightly,2,4011,27169.673292151445,0.000247625162061
14,Ron FIEDLER,Ronald_Fiedler,3,7157,27169.67306215327,0.000247625162061
15,Darren EATHER,warinella1,8,8334,27169.671912162386,0.000247625162061
16,Steve KLOMP,SteveKlomp,10,1450,27169.671452166032,0.000247625162061
17,Rick GROSVENOR,RFGrosvenor,11,1309,27169.671222167854,0.000247625162061
18,Craig BRAKEY,CraigBrakey,18,7619,27169.669612180616,0.000247625162061
19,George HUA,georgejhua,29,37447,27169.667082200674,0.000247625162061
20,Dean YOUNG,dgyoungy,51,21969,27169.662022240784,0.000247625162061
21,Tony SEALS,ForUap,55,3813,27169.66110224808,0.000247625162061
22,Sharron HAWKINS ZEEB,sharronhawkin12,66,1102,27169.658572268134,0.000247625162061
23,Steven D'ELIA,StevenDElia,71,1185,27169.65742227725,0.000247625162061
24,Lee-Anne MILES,LeeAnne4Pearce,108,9651,27169.64891234471,0.000247625162061
25,Teresa VAN LIESHOUT,TeresavLieshout,156,1660,27169.637872432228,0.000247625162061
26,Brett NANGLE,BrettNangle,175,1892,27169.63350246687,0.000247625162061
27,Pat CONAGHAN,PatConaghanMP,176,49668,27169.633272468694,0.000247625162061
28,Sue BERTUCH,SueBertuch,181,6124,27169.63212247781,0.000247625162061
29,Bill LODWICK,billlodwick4mp,225,18493,27169.622002558033,0.000247625162061
30,Graham McFARLAND,ABFforGreenway,245,2072,27169.617402594497,0.000247625162061
31,Nanette RADECK,NanetteRadeck,290,9007,27169.607052676543,0.000247625162061
32,Andrew WALLACE,AndrewWallaceMP,324,49567,27169.599232738536,0.000247625162061
33,Jess JENNINGS,JenningsJess,335,23074,27169.59670275859,0.000247625162061
34,Russell BROADBENT,BroadbentMP,342,46501,27169.595092771353,0.000247625162061
35,Sally MILBOURNE,milbourne_sally,369,1654,27169.588882820583,0.000247625162061
36,Tony PASIN,TonyPasin,442,61155,27169.57209295368,0.000247625162061
37,Nell McGILL,mcgill_penelope,484,37363,27169.562433030256,0.000247625162061
38,Phillip THOMPSON,P_Thompson88,490,34112,27169.561053041198,0.000247625162061
39,Kevin HOGAN,KevinHoganMP,601,53672,27169.53552324358,0.000247625162061
40,Chris HAVILAND,haviland_chris,605,20361,27169.53460325087,0.000247625162061
41,Emma McBRIDE,Emma4Dobell,747,42093,27169.501943509775,0.000247625162061
42,Nikhil AAI REDDY,ReddyAai,838,7638,27169.481013675693,0.000247625162061
43,Bridget ARCHER,bridgetarcher,981,29094,27169.448123936418,0.000247625162061
44,Tony SMITH,TonySmithMP,998,45168,27169.444213967414,0.000247625162061
45,Elida FAITH,ElidaFaith,1034,25846,27169.435934033052,0.000247625162061
46,Christine STOW,AnneWebsterMP,1036,34877,27169.435474036698,0.000247625162061
47,Ken O'DOWD,KenODowdMP,1039,33894,27169.43478404217,0.000247625162061
48,Rob TABER,Rob_Taber,1182,3702,27169.401894302897,0.000247625162061
49,Susan MOYLAN,smoylancoombs,1271,1111,27169.381424465166,0.000247625162061
50,Nick SHADY,Nick_Shady71,1376,2288,27169.35727465661,0.000247625162061
51,Shyamal REDDY,ShyamalReddy,1420,3134,27169.34715473683,0.000247625162061
52,Fiona LEVINY,fionaleviny2019,1695,5240,27169.28390523823,0.000247625162061
53,John ALEXANDER,JAforBennelong,1707,48942,27169.28114526011,0.000247625162061
54,Andrew LAMING,AndrewLamingMP,1783,47866,27169.263665398677,0.000247625162061
55,Cecilia MOAR,CeciliaMoar,1787,2761,27169.26274540597,0.000247625162061
56,Jason WOOD,JasonWood_MP,1870,45123,27169.2436555573,0.000247625162061
57,Shaun OSBORN,shaunosborn1,1891,38753,27169.23882559559,0.000247625162061
58,Steve BLYTH,blyth_steve,2012,1342,27169.210995816204,0.000247625162061
59,Majella MORELLO,jazzglamorous,2019,2613,27169.209385828966,0.000247625162061
60,Kath LARKIN,RowanRamseyMP,2071,4125,27169.197425923776,0.000247625162061
61,Alex DYSON,AlexDyson,2176,10797,27169.17327611522,0.000247625162061
62,Zac BEERS,zac_beers,2248,25628,27169.156716246493,0.000247625162061
63,Richard BELCHER,RichardGBelcher,2293,1410,27169.14636632854,0.000247625162061
64,Ben McGREGOR,BenMcGregorALP,2632,13641,27169.068396946626,0.000247625162061
65,Christian PORTER,cporterwa,2877,43689,27169.012047393324,0.000247625162061
66,Dan TEHAN,DanTehanWannon,3844,53094,27168.78963915642,0.000247625162061
67,Nadine RICHINGS,DrNRichingsAJP,3858,2476,27168.786419181946,0.000247625162061
68,Jacqui MUNRO,jacquifunro,4232,25230,27168.700399863847,0.000247625162061
69,Daniel MULINO,DanielMulinoMP,4575,46709,27168.621510489225,0.000247625162061
70,Rosemary LAVIN,VicSoc4MCC,4586,1780,27168.61898050928,0.000247625162061
71,David COLEMAN,DavidColemanMP,5225,46709,27168.472011674345,0.000247625162061
72,Daniel VUJCICH,DanielVujcich1,5304,10735,27168.453841818384,0.000247625162061
73,Jim CASEY,JimCaseyGreens,5709,21607,27168.360692556806,0.000247625162061
74,Brett STONE,brettjstone,7418,24289,27167.967625672758,0.000247625162061
75,Keith PITT,keithjpitt,7649,42374,27167.914496093934,0.000247625162061
76,Nola MARINO,NolaMarinoMP,8141,47470,27167.80133699098,0.000247625162061
77,Sue BOLTON,sueabolton,8214,4344,27167.784547124076,0.000247625162061
78,Damian DRUM,damiandrummp,9478,48855,27167.49382942868,0.000247625162061
79,Paul FLETCHER,PaulFletcherMP,10616,58007,27167.232091503553,0.000247625162061
80,Chris CREWTHER,ChrisCrewther,10894,38616,27167.16815201042,0.000247625162061
81,Therese FAULKNER,ThereseCbrProgs,11083,2722,27167.124682355017,0.000247625162061
82,Melissa PRICE,Melissa4Durack,11547,34429,27167.01796320101,0.000247625162061
83,Linda LITTLE,LindaLittleALP,11783,14427,27166.9636836313,0.000247625162061
84,Emmet de BHALDRAITHE,Emmet_deB,11825,5982,27166.954023707876,0.000247625162061
