,name,handle,x,y,bestFitY,r2
0,Adam BANDT,AdamBandt,-1390,45876,14605.552614890861,0.194752215670755
1,Mike KELLY,MikeKellyofEM,-1059,38878,16159.265648518958,0.194752215670755
2,Petra CAMPBELL,PetraAu,-1026,1346,16314.167552173723,0.194752215670755
3,Sue ETHERIDGE,EtheridgeSue,-814,12291,17309.29493322858,0.194752215670755
4,Julian BURNSIDE,JulianBurnside,-527,21035,18656.47209531699,0.194752215670755
5,Oliver YATES,_Oliver_Yates,-454,8890,18999.13388218965,0.194752215670755
6,Nick CHAMPION,NickChampionMP,-444,51791,19046.073852994123,0.194752215670755
7,Teresa VAN LIESHOUT,TeresavLieshout,-395,1660,19276.079709936046,0.194752215670755
8,Andrew BARTLETT,AndrewBartlett,-393,22807,19285.467704096944,0.194752215670755
9,Andrew WILKIE,WilkieMP,-387,33761,19313.63168657963,0.194752215670755
10,Cressida O'HANLON,CressidaOHanlon,-374,32766,19374.653648625444,0.194752215670755
11,Gaye CAMERON,GayeCameronNSW,-353,3277,19473.22758731484,0.194752215670755
12,Brian MITCHELL,BrianMitchellMP,-256,26091,19928.54530411824,0.194752215670755
13,James JANSSON,jamesjansson,-211,1595,20139.775172738373,0.194752215670755
14,Julian HILL,JulianHillMP,-118,51713,20576.316901219983,0.194752215670755
15,Chris HAVILAND,haviland_chris,-86,20361,20726.5248077943,0.194752215670755
16,Sue BOLTON,sueabolton,-86,4344,20726.5248077943,0.194752215670755
17,Rosemary LAVIN,VicSoc4MCC,-78,1780,20764.076784437882,0.194752215670755
18,Tim WATTS,TimWattsMP,-64,47942,20829.792743564143,0.194752215670755
19,Jim SALEAM,James_Saleam,-42,1372,20933.060679333987,0.194752215670755
20,Bronwyn CURRIE,CurrieBronwyn,-28,3607,20998.77663846025,0.194752215670755
21,Rick GROSVENOR,RFGrosvenor,-23,1309,21022.246623862487,0.194752215670755
22,Sharon LOHSE,sharon_lohse,-21,17531,21031.634618023385,0.194752215670755
23,Qiu Yue ZHANG,VikiZhang2019,-13,9116,21069.186594666964,0.194752215670755
24,Tony SEALS,ForUap,-11,3813,21078.574588827858,0.194752215670755
25,Michael CALAUTTI,MichaelCalautti,-4,1305,21111.43256839099,0.194752215670755
26,Ziggi MURPHY,ZiggiFor,-1,2390,21125.51455963233,0.194752215670755
27,Andrew GEE,AndrewGeeMP,0,46632,21130.20855671278,0.194752215670755
28,Neville John FOWLER,fowler_neville,0,1494,21130.20855671278,0.194752215670755
29,Thor PROHASKA,thorlp,1,2302,21134.90255379323,0.194752215670755
30,Jake SCHOERMER,UQGreens,1,19621,21134.90255379323,0.194752215670755
31,Matthew THOMPSON,MattThompson777,2,17134,21139.596550873674,0.194752215670755
32,Tracey BELL-HENSELIN,THenselin,2,5165,21139.596550873674,0.194752215670755
33,Josh WILSON,Josh4Freo,3,34636,21144.290547954122,0.194752215670755
34,Simon NORTHEAST,NortheastSimon,3,9184,21144.290547954122,0.194752215670755
35,Brett NANGLE,BrettNangle,4,1892,21148.98454503457,0.194752215670755
36,Dominic Wy KANAK,GreensDom,4,6759,21148.98454503457,0.194752215670755
37,Nickee FREEMAN,NickeeGoLightly,4,4011,21148.98454503457,0.194752215670755
38,Russell ROBERTSON,RRobertson_ALP,4,21120,21148.98454503457,0.194752215670755
39,Darren EATHER,warinella1,4,8334,21148.98454503457,0.194752215670755
40,Nikhil AAI REDDY,ReddyAai,8,7638,21167.76053335636,0.194752215670755
41,George HUA,georgejhua,10,37447,21177.148527517253,0.194752215670755
42,Richard BELCHER,RichardGBelcher,10,1410,21177.148527517253,0.194752215670755
43,Gladys LIU,GladysLiuMP,11,41172,21181.8425245977,0.194752215670755
44,Ryan Frederick GOLDSPRING,Qe8OGDavbDZjWs9,11,1986,21181.8425245977,0.194752215670755
45,Lachlan QUEENAN,LachlanQueenan,14,2478,21195.924515839044,0.194752215670755
46,Andrew SCHEBELLA,Effin_Q,16,3385,21205.312509999938,0.194752215670755
47,Majella MORELLO,jazzglamorous,17,2613,21210.006507080387,0.194752215670755
48,Ron FIEDLER,Ronald_Fiedler,17,7157,21210.006507080387,0.194752215670755
49,Steven ARMSTRONG,StevenArmstron7,17,974,21210.006507080387,0.194752215670755
50,Alex GRAHAM,alexgraham04,19,1645,21219.39450124128,0.194752215670755
51,Angela FULCO,AngeProgressive,19,565,21219.39450124128,0.194752215670755
52,Sharron HAWKINS ZEEB,sharronhawkin12,19,1102,21219.39450124128,0.194752215670755
53,Steve KLOMP,SteveKlomp,20,1450,21224.08849832173,0.194752215670755
