,name,handle,x,y,bestFitY,r2
0,Andrew GEE,AndrewGeeMP,1,46632,18692.229292793683,0.157753922658734
1,Nickee FREEMAN,NickeeGoLightly,1,4011,18692.229292793683,0.157753922658734
2,Neville John FOWLER,fowler_neville,2,1494,18697.418081239863,0.157753922658734
3,Gladys LIU,GladysLiuMP,3,41172,18702.60686968604,0.157753922658734
4,Simon NORTHEAST,NortheastSimon,4,9184,18707.795658132218,0.157753922658734
5,Ron FIEDLER,Ronald_Fiedler,4,7157,18707.795658132218,0.157753922658734
6,Tracey BELL-HENSELIN,THenselin,5,5165,18712.984446578397,0.157753922658734
7,Lachlan QUEENAN,LachlanQueenan,6,2478,18718.173235024577,0.157753922658734
8,Jake SCHOERMER,UQGreens,7,19621,18723.362023470756,0.157753922658734
9,Nikhil AAI REDDY,ReddyAai,8,7638,18728.55081191693,0.157753922658734
10,Brett NANGLE,BrettNangle,10,1892,18738.92838880929,0.157753922658734
11,Livingston CHETTIPALLY,LChettipally,12,25411,18749.30596570165,0.157753922658734
12,Ryan Frederick GOLDSPRING,Qe8OGDavbDZjWs9,12,1986,18749.30596570165,0.157753922658734
13,Rick GROSVENOR,RFGrosvenor,12,1309,18749.30596570165,0.157753922658734
14,Darren EATHER,warinella1,12,8334,18749.30596570165,0.157753922658734
15,George HUA,georgejhua,14,37447,18759.683542594004,0.157753922658734
16,Alex GRAHAM,alexgraham04,17,1645,18775.24990793254,0.157753922658734
17,Thor PROHASKA,thorlp,17,2302,18775.24990793254,0.157753922658734
18,Michael CALAUTTI,MichaelCalautti,18,1305,18780.43869637872,0.157753922658734
19,Zac BEERS,zac_beers,19,25628,18785.627484824898,0.157753922658734
20,Andrew WALLACE,AndrewWallaceMP,21,49567,18796.005061717256,0.157753922658734
21,Steven D'ELIA,StevenDElia,21,1185,18796.005061717256,0.157753922658734
22,Lee-Anne MILES,LeeAnne4Pearce,25,9651,18816.76021550197,0.157753922658734
23,Sharron HAWKINS ZEEB,sharronhawkin12,26,1102,18821.94900394815,0.157753922658734
24,Elida FAITH,ElidaFaith,31,25846,18847.892946179043,0.157753922658734
25,Ziggi MURPHY,ZiggiFor,32,2390,18853.08173462522,0.157753922658734
26,Nell McGILL,mcgill_penelope,37,37363,18879.025676856112,0.157753922658734
27,Dean YOUNG,dgyoungy,38,21969,18884.21446530229,0.157753922658734
28,Steve KLOMP,SteveKlomp,38,1450,18884.21446530229,0.157753922658734
29,Cecilia MOAR,CeciliaMoar,40,2761,18894.59204219465,0.157753922658734
30,Bill LODWICK,billlodwick4mp,43,18493,18910.158407533185,0.157753922658734
31,Tony SEALS,ForUap,43,3813,18910.158407533185,0.157753922658734
32,Fiona LEVINY,fionaleviny2019,45,5240,18920.535984425544,0.157753922658734
33,Majella MORELLO,jazzglamorous,45,2613,18920.535984425544,0.157753922658734
34,Tony SMITH,TonySmithMP,49,45168,18941.291138210257,0.157753922658734
35,Craig BRAKEY,CraigBrakey,56,7619,18977.612657333506,0.157753922658734
36,Jess JENNINGS,JenningsJess,56,23074,18977.612657333506,0.157753922658734
37,Emma McBRIDE,Emma4Dobell,64,42093,19019.122964902937,0.157753922658734
38,Pat CONAGHAN,PatConaghanMP,64,49668,19019.122964902937,0.157753922658734
39,Ben McGREGOR,BenMcGregorALP,65,13641,19024.311753349113,0.157753922658734
40,Brett STONE,brettjstone,71,24289,19055.444484026186,0.157753922658734
41,Richard BELCHER,RichardGBelcher,73,1410,19065.822060918545,0.157753922658734
42,Linda LITTLE,LindaLittleALP,85,14427,19128.087522272686,0.157753922658734
43,Therese FAULKNER,ThereseCbrProgs,87,2722,19138.465099165045,0.157753922658734
44,Christine STOW,AnneWebsterMP,93,34877,19169.597829842118,0.157753922658734
45,Shyamal REDDY,ShyamalReddy,96,3134,19185.164195180652,0.157753922658734
46,Innes LARKIN,innesforwright,104,5165,19226.67450275008,0.157753922658734
47,Sally MILBOURNE,milbourne_sally,108,1654,19247.429656534798,0.157753922658734
48,Simon O'BRIEN,OBrienforCook,116,21718,19288.939964104226,0.157753922658734
49,Nick LARCOMBE,Larcombe_N,118,2906,19299.31754099658,0.157753922658734
50,Bridget ARCHER,bridgetarcher,123,29094,19325.261483227474,0.157753922658734
51,Susan MOYLAN,smoylancoombs,127,1111,19346.01663701219,0.157753922658734
52,Qiu Yue ZHANG,VikiZhang2019,131,9116,19366.771790796905,0.157753922658734
53,Sue BERTUCH,SueBertuch,132,6124,19371.960579243085,0.157753922658734
54,Ken O'DOWD,KenODowdMP,136,33894,19392.7157330278,0.157753922658734
55,Emmet de BHALDRAITHE,Emmet_deB,145,5982,19439.414829043406,0.157753922658734
56,Nadine RICHINGS,DrNRichingsAJP,162,2476,19527.62423262844,0.157753922658734
57,Michelle LANDRY,mlandryMP,163,36163,19532.81302107462,0.157753922658734
58,Jim SALEAM,James_Saleam,190,1372,19672.910309121442,0.157753922658734
59,Shaun OSBORN,shaunosborn1,192,38753,19683.2878860138,0.157753922658734
60,Bronwyn CURRIE,CurrieBronwyn,193,3607,19688.47667445998,0.157753922658734
61,Judith CULLITY,JudithCullity,194,10439,19693.66546290616,0.157753922658734
62,Russell BROADBENT,BroadbentMP,195,46501,19698.854251352335,0.157753922658734
63,Angela FULCO,AngeProgressive,196,565,19704.043039798515,0.157753922658734
64,Jacqui MUNRO,jacquifunro,196,25230,19704.043039798515,0.157753922658734
65,Kate ASHMOR,KateAshmor,197,36283,19709.231828244694,0.157753922658734
66,Steve BLYTH,blyth_steve,198,1342,19714.420616690873,0.157753922658734
67,Chris ATLEE,chris_atlee,198,31177,19714.420616690873,0.157753922658734
68,Daniel VUJCICH,DanielVujcich1,198,10735,19714.420616690873,0.157753922658734
69,Dan TEHAN,DanTehanWannon,198,53094,19714.420616690873,0.157753922658734
70,John ALEXANDER,JAforBennelong,198,48942,19714.420616690873,0.157753922658734
